"Title","Households: Real disposable Income, per head: Chained volume measure (reference year = 2022) £: Seasonally adjusted"
"CDID","CRXX"
"Source dataset ID","UKEA"
"PreUnit",""
"Unit",""
"Release date","28-03-2025"
"Next release","30 June 2025"
"Important notes",
"1955","5719"
"1956","5826"
"1957","5898"
"1958","5994"
"1959","6278"
"1960","6645"
"1961","6872"
"1962","6900"
"1963","7128"
"1964","7402"
"1965","7505"
"1966","7631"
"1967","7694"
"1968","7793"
"1969","7833"
"1970","8104"
"1971","8189"
"1972","8879"
"1973","9432"
"1974","9362"
"1975","9449"
"1976","9444"
"1977","9275"
"1978","9934"
"1979","10515"
"1980","10682"
"1981","10668"
"1982","10715"
"1983","10948"
"1984","11326"
"1985","11773"
"1986","12249"
"1987","12443"
"1988","13109"
"1989","13769"
"1990","14304"
"1991","14562"
"1992","14943"
"1993","15210"
"1994","15419"
"1995","15829"
"1996","16237"
"1997","16513"
"1998","16628"
"1999","17262"
"2000","18143"
"2001","18712"
"2002","19029"
"2003","19359"
"2004","19786"
"2005","20122"
"2006","20349"
"2007","21003"
"2008","20726"
"2009","20911"
"2010","20908"
"2011","20306"
"2012","20707"
"2013","21021"
"2014","21440"
"2015","22643"
"2016","22623"
"2017","22730"
"2018","23088"
"2019","23430"
"2020","23369"
"2021","23562"
"2022","22906"
"2023","23150"
"2024","23866"
"1955 Q1","1411"
"1955 Q2","1432"
"1955 Q3","1450"
"1955 Q4","1422"
"1956 Q1","1459"
"1956 Q2","1446"
"1956 Q3","1464"
"1956 Q4","1453"
"1957 Q1","1467"
"1957 Q2","1476"
"1957 Q3","1476"
"1957 Q4","1477"
"1958 Q1","1497"
"1958 Q2","1489"
"1958 Q3","1502"
"1958 Q4","1502"
"1959 Q1","1526"
"1959 Q2","1575"
"1959 Q3","1579"
"1959 Q4","1590"
"1960 Q1","1623"
"1960 Q2","1651"
"1960 Q3","1675"
"1960 Q4","1688"
"1961 Q1","1701"
"1961 Q2","1726"
"1961 Q3","1725"
"1961 Q4","1712"
"1962 Q1","1707"
"1962 Q2","1705"
"1962 Q3","1729"
"1962 Q4","1755"
"1963 Q1","1739"
"1963 Q2","1754"
"1963 Q3","1813"
"1963 Q4","1815"
"1964 Q1","1833"
"1964 Q2","1838"
"1964 Q3","1856"
"1964 Q4","1869"
"1965 Q1","1860"
"1965 Q2","1857"
"1965 Q3","1889"
"1965 Q4","1895"
"1966 Q1","1969"
"1966 Q2","1892"
"1966 Q3","1880"
"1966 Q4","1885"
"1967 Q1","1881"
"1967 Q2","1915"
"1967 Q3","1958"
"1967 Q4","1935"
"1968 Q1","1966"
"1968 Q2","1967"
"1968 Q3","1930"
"1968 Q4","1926"
"1969 Q1","1950"
"1969 Q2","1966"
"1969 Q3","1957"
"1969 Q4","1957"
"1970 Q1","1967"
"1970 Q2","2047"
"1970 Q3","2049"
"1970 Q4","2035"
"1971 Q1","1990"
"1971 Q2","2051"
"1971 Q3","2064"
"1971 Q4","2083"
"1972 Q1","2130"
"1972 Q2","2264"
"1972 Q3","2227"
"1972 Q4","2257"
"1973 Q1","2309"
"1973 Q2","2360"
"1973 Q3","2378"
"1973 Q4","2385"
"1974 Q1","2321"
"1974 Q2","2297"
"1974 Q3","2375"
"1974 Q4","2369"
"1975 Q1","2418"
"1975 Q2","2342"
"1975 Q3","2368"
"1975 Q4","2322"
"1976 Q1","2359"
"1976 Q2","2332"
"1976 Q3","2408"
"1976 Q4","2346"
"1977 Q1","2282"
"1977 Q2","2269"
"1977 Q3","2314"
"1977 Q4","2409"
"1978 Q1","2406"
"1978 Q2","2467"
"1978 Q3","2531"
"1978 Q4","2527"
"1979 Q1","2572"
"1979 Q2","2610"
"1979 Q3","2605"
"1979 Q4","2725"
"1980 Q1","2656"
"1980 Q2","2655"
"1980 Q3","2700"
"1980 Q4","2672"
"1981 Q1","2703"
"1981 Q2","2656"
"1981 Q3","2645"
"1981 Q4","2666"
"1982 Q1","2660"
"1982 Q2","2695"
"1982 Q3","2676"
"1982 Q4","2682"
"1983 Q1","2674"
"1983 Q2","2772"
"1983 Q3","2745"
"1983 Q4","2753"
"1984 Q1","2799"
"1984 Q2","2770"
"1984 Q3","2846"
"1984 Q4","2907"
"1985 Q1","2937"
"1985 Q2","2937"
"1985 Q3","2939"
"1985 Q4","2957"
"1986 Q1","3007"
"1986 Q2","3120"
"1986 Q3","3059"
"1986 Q4","3060"
"1987 Q1","3031"
"1987 Q2","3103"
"1987 Q3","3144"
"1987 Q4","3163"
"1988 Q1","3211"
"1988 Q2","3269"
"1988 Q3","3301"
"1988 Q4","3323"
"1989 Q1","3367"
"1989 Q2","3415"
"1989 Q3","3509"
"1989 Q4","3473"
"1990 Q1","3573"
"1990 Q2","3534"
"1990 Q3","3568"
"1990 Q4","3621"
"1991 Q1","3636"
"1991 Q2","3571"
"1991 Q3","3679"
"1991 Q4","3672"
"1992 Q1","3698"
"1992 Q2","3729"
"1992 Q3","3756"
"1992 Q4","3755"
"1993 Q1","3732"
"1993 Q2","3803"
"1993 Q3","3829"
"1993 Q4","3840"
"1994 Q1","3833"
"1994 Q2","3823"
"1994 Q3","3891"
"1994 Q4","3866"
"1995 Q1","3950"
"1995 Q2","3939"
"1995 Q3","3952"
"1995 Q4","3983"
"1996 Q1","4076"
"1996 Q2","4044"
"1996 Q3","4091"
"1996 Q4","4020"
"1997 Q1","4076"
"1997 Q2","4124"
"1997 Q3","4159"
"1997 Q4","4148"
"1998 Q1","4131"
"1998 Q2","4160"
"1998 Q3","4134"
"1998 Q4","4194"
"1999 Q1","4152"
"1999 Q2","4327"
"1999 Q3","4335"
"1999 Q4","4440"
"2000 Q1","4437"
"2000 Q2","4489"
"2000 Q3","4572"
"2000 Q4","4635"
"2001 Q1","4663"
"2001 Q2","4649"
"2001 Q3","4659"
"2001 Q4","4732"
"2002 Q1","4718"
"2002 Q2","4771"
"2002 Q3","4751"
"2002 Q4","4777"
"2003 Q1","4794"
"2003 Q2","4816"
"2003 Q3","4848"
"2003 Q4","4887"
"2004 Q1","4909"
"2004 Q2","4941"
"2004 Q3","4949"
"2004 Q4","4965"
"2005 Q1","4989"
"2005 Q2","5025"
"2005 Q3","5055"
"2005 Q4","5036"
"2006 Q1","5085"
"2006 Q2","5052"
"2006 Q3","5086"
"2006 Q4","5103"
"2007 Q1","5267"
"2007 Q2","5213"
"2007 Q3","5264"
"2007 Q4","5238"
"2008 Q1","5171"
"2008 Q2","5223"
"2008 Q3","5118"
"2008 Q4","5197"
"2009 Q1","5156"
"2009 Q2","5253"
"2009 Q3","5229"
"2009 Q4","5250"
"2010 Q1","5259"
"2010 Q2","5243"
"2010 Q3","5214"
"2010 Q4","5170"
"2011 Q1","5047"
"2011 Q2","5096"
"2011 Q3","5088"
"2011 Q4","5059"
"2012 Q1","5163"
"2012 Q2","5197"
"2012 Q3","5160"
"2012 Q4","5170"
"2013 Q1","5135"
"2013 Q2","5212"
"2013 Q3","5294"
"2013 Q4","5359"
"2014 Q1","5348"
"2014 Q2","5329"
"2014 Q3","5324"
"2014 Q4","5420"
"2015 Q1","5514"
"2015 Q2","5635"
"2015 Q3","5734"
"2015 Q4","5735"
"2016 Q1","5696"
"2016 Q2","5683"
"2016 Q3","5634"
"2016 Q4","5598"
"2017 Q1","5599"
"2017 Q2","5695"
"2017 Q3","5710"
"2017 Q4","5713"
"2018 Q1","5777"
"2018 Q2","5735"
"2018 Q3","5746"
"2018 Q4","5815"
"2019 Q1","5792"
"2019 Q2","5869"
"2019 Q3","5861"
"2019 Q4","5908"
"2020 Q1","5831"
"2020 Q2","5743"
"2020 Q3","5878"
"2020 Q4","5904"
"2021 Q1","5927"
"2021 Q2","5952"
"2021 Q3","5883"
"2021 Q4","5765"
"2022 Q1","5736"
"2022 Q2","5664"
"2022 Q3","5677"
"2022 Q4","5785"
"2023 Q1","5727"
"2023 Q2","5798"
"2023 Q3","5782"
"2023 Q4","5815"
"2024 Q1","5879"
"2024 Q2","5932"
"2024 Q3","5965"
"2024 Q4","6064"
